#Campbell and Reyment 1978 and Reyment 1982 V7											
N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
24	19.08	12.068676	3343	0.25	0.00088968	0	linear	1	no	foram	Afrobolivina_afra
12	18.21	12.068676	3317	NA	NA	2.31E-02	NA	NA	NA	NA	NA
30	16.22	12.068676	3313	NA	NA	2.67E-02	NA	NA	NA	NA	NA
28	20.36	12.068676	3301	NA	NA	3.74E-02	NA	NA	NA	NA	NA
62	19.97	12.068676	3298	NA	NA	4.00E-02	NA	NA	NA	NA	NA
31	23.1	12.068676	3290	NA	NA	4.72E-02	NA	NA	NA	NA	NA
16	19.96	12.068676	3286	NA	NA	5.07E-02	NA	NA	NA	NA	NA
16	20.03	12.068676	3283	NA	NA	5.34E-02	NA	NA	NA	NA	NA
16	21.63	12.068676	3274	NA	NA	6.14E-02	NA	NA	NA	NA	NA
15	28.63	12.068676	3271	NA	NA	6.41E-02	NA	NA	NA	NA	NA
16	26.53	12.068676	3265	NA	NA	6.94E-02	NA	NA	NA	NA	NA
16	24.04	12.068676	3253	NA	NA	8.01E-02	NA	NA	NA	NA	NA
16	20.19	12.068676	3241	NA	NA	9.07E-02	NA	NA	NA	NA	NA
12	22.5	12.068676	3239	NA	NA	9.25E-02	NA	NA	NA	NA	NA
15	20.83	12.068676	3227	NA	NA	1.03E-01	NA	NA	NA	NA	NA
12	21.71	12.068676	3221	NA	NA	1.09E-01	NA	NA	NA	NA	NA
11	23.41	12.068676	3212	NA	NA	1.17E-01	NA	NA	NA	NA	NA
26	30.82	12.068676	3209	NA	NA	1.19E-01	NA	NA	NA	NA	NA
13	24.46	12.068676	3206	NA	NA	1.22E-01	NA	NA	NA	NA	NA
26	22.62	12.068676	3200	NA	NA	1.27E-01	NA	NA	NA	NA	NA
12	29.71	12.068676	3197	NA	NA	1.30E-01	NA	NA	NA	NA	NA
39	24.73	12.068676	3194	NA	NA	1.33E-01	NA	NA	NA	NA	NA
13	26.62	12.068676	3189	NA	NA	1.37E-01	NA	NA	NA	NA	NA
18	23.28	12.068676	3183	NA	NA	1.42E-01	NA	NA	NA	NA	NA
30	23.32	12.068676	3180	NA	NA	1.45E-01	NA	NA	NA	NA	NA
17	26	12.068676	3178	NA	NA	1.47E-01	NA	NA	NA	NA	NA
21	24.71	12.068676	3174	NA	NA	1.50E-01	NA	NA	NA	NA	NA
42	24.74	12.068676	3166	NA	NA	1.57E-01	NA	NA	NA	NA	NA
31	24.15	12.068676	3163	NA	NA	1.60E-01	NA	NA	NA	NA	NA
28	22.37	12.068676	3160	NA	NA	1.63E-01	NA	NA	NA	NA	NA
34	27.29	12.068676	3157	NA	NA	1.65E-01	NA	NA	NA	NA	NA
13	23.35	12.068676	3154	NA	NA	1.68E-01	NA	NA	NA	NA	NA
17	28.18	12.068676	3149	NA	NA	1.73E-01	NA	NA	NA	NA	NA
14	24.71	12.068676	3141	NA	NA	1.80E-01	NA	NA	NA	NA	NA
14	23.07	12.068676	3138	NA	NA	1.82E-01	NA	NA	NA	NA	NA
22	25.48	12.068676	3132	NA	NA	1.88E-01	NA	NA	NA	NA	NA
12	23.46	12.068676	3126	NA	NA	1.93E-01	NA	NA	NA	NA	NA
14	20.13	12.068676	3125	NA	NA	1.94E-01	NA	NA	NA	NA	NA
16	20.78	12.068676	3112	NA	NA	2.06E-01	NA	NA	NA	NA	NA
13	22.96	12.068676	3100	NA	NA	2.16E-01	NA	NA	NA	NA	NA
14	23.71	12.068676	3097	NA	NA	2.19E-01	NA	NA	NA	NA	NA
15	32.2	12.068676	3084	NA	NA	2.30E-01	NA	NA	NA	NA	NA
29	33.04	12.068676	3075	NA	NA	2.38E-01	NA	NA	NA	NA	NA
31	29.94	12.068676	3068	NA	NA	2.45E-01	NA	NA	NA	NA	NA
15	26.91	12.068676	3065	NA	NA	2.47E-01	NA	NA	NA	NA	NA
60	31.56	12.068676	3062	NA	NA	2.50E-01	NA	NA	NA	NA	NA
