#Campbell and Reyment 1978 and Reyment 1982 V2											
N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
24	35.5	24.910081	3343	0.25	0.00088968	0	linear	1	no	foram	Afrobolivina_afra
12	32.46	24.910081	3317	NA	NA	2.31E-02	NA	NA	NA	NA	NA
30	24.91	24.910081	3313	NA	NA	2.67E-02	NA	NA	NA	NA	NA
28	33.17	24.910081	3301	NA	NA	3.74E-02	NA	NA	NA	NA	NA
62	31.03	24.910081	3298	NA	NA	4.00E-02	NA	NA	NA	NA	NA
31	35.53	24.910081	3290	NA	NA	4.72E-02	NA	NA	NA	NA	NA
16	30.86	24.910081	3286	NA	NA	5.07E-02	NA	NA	NA	NA	NA
16	30.49	24.910081	3283	NA	NA	5.34E-02	NA	NA	NA	NA	NA
16	31.72	24.910081	3274	NA	NA	6.14E-02	NA	NA	NA	NA	NA
15	36.47	24.910081	3271	NA	NA	6.41E-02	NA	NA	NA	NA	NA
16	34.46	24.910081	3265	NA	NA	6.94E-02	NA	NA	NA	NA	NA
16	32.63	24.910081	3253	NA	NA	8.01E-02	NA	NA	NA	NA	NA
16	29.06	24.910081	3241	NA	NA	9.07E-02	NA	NA	NA	NA	NA
12	29.16	24.910081	3239	NA	NA	9.25E-02	NA	NA	NA	NA	NA
15	27.11	24.910081	3227	NA	NA	1.03E-01	NA	NA	NA	NA	NA
12	27.74	24.910081	3221	NA	NA	1.09E-01	NA	NA	NA	NA	NA
11	34.66	24.910081	3212	NA	NA	1.17E-01	NA	NA	NA	NA	NA
26	39.89	24.910081	3209	NA	NA	1.19E-01	NA	NA	NA	NA	NA
13	34.6	24.910081	3206	NA	NA	1.22E-01	NA	NA	NA	NA	NA
26	31.57	24.910081	3200	NA	NA	1.27E-01	NA	NA	NA	NA	NA
12	40.09	24.910081	3197	NA	NA	1.30E-01	NA	NA	NA	NA	NA
39	32.09	24.910081	3194	NA	NA	1.33E-01	NA	NA	NA	NA	NA
13	34.24	24.910081	3189	NA	NA	1.37E-01	NA	NA	NA	NA	NA
18	32.62	24.910081	3183	NA	NA	1.42E-01	NA	NA	NA	NA	NA
30	34.13	24.910081	3180	NA	NA	1.45E-01	NA	NA	NA	NA	NA
17	34.21	24.910081	3178	NA	NA	1.47E-01	NA	NA	NA	NA	NA
21	31.71	24.910081	3174	NA	NA	1.50E-01	NA	NA	NA	NA	NA
42	30.47	24.910081	3166	NA	NA	1.57E-01	NA	NA	NA	NA	NA
31	30.74	24.910081	3163	NA	NA	1.60E-01	NA	NA	NA	NA	NA
28	28.79	24.910081	3160	NA	NA	1.63E-01	NA	NA	NA	NA	NA
34	34.66	24.910081	3157	NA	NA	1.65E-01	NA	NA	NA	NA	NA
13	30.52	24.910081	3154	NA	NA	1.68E-01	NA	NA	NA	NA	NA
17	33.5	24.910081	3149	NA	NA	1.73E-01	NA	NA	NA	NA	NA
14	32.76	24.910081	3141	NA	NA	1.80E-01	NA	NA	NA	NA	NA
14	30.15	24.910081	3138	NA	NA	1.82E-01	NA	NA	NA	NA	NA
22	33.38	24.910081	3132	NA	NA	1.88E-01	NA	NA	NA	NA	NA
12	30.49	24.910081	3126	NA	NA	1.93E-01	NA	NA	NA	NA	NA
14	28.61	24.910081	3125	NA	NA	1.94E-01	NA	NA	NA	NA	NA
16	28.73	24.910081	3112	NA	NA	2.06E-01	NA	NA	NA	NA	NA
13	28.8	24.910081	3100	NA	NA	2.16E-01	NA	NA	NA	NA	NA
14	30.39	24.910081	3097	NA	NA	2.19E-01	NA	NA	NA	NA	NA
15	39.79	24.910081	3084	NA	NA	2.30E-01	NA	NA	NA	NA	NA
29	40.02	24.910081	3075	NA	NA	2.38E-01	NA	NA	NA	NA	NA
31	36.53	24.910081	3068	NA	NA	2.45E-01	NA	NA	NA	NA	NA
15	32.21	24.910081	3065	NA	NA	2.47E-01	NA	NA	NA	NA	NA
60	39.77	24.910081	3062	NA	NA	2.50E-01	NA	NA	NA	NA	NA
