#Campbell and Reyment 1978 and Reyment 1982 V3											
N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
24	24.76	20.657025	3343	0.25	0.00088968	0	linear	1	no	foram	Afrobolivina_afra
12	23.32	20.657025	3317	NA	NA	2.31E-02	NA	NA	NA	NA	NA
30	18.85	20.657025	3313	NA	NA	2.67E-02	NA	NA	NA	NA	NA
28	26.43	20.657025	3301	NA	NA	3.74E-02	NA	NA	NA	NA	NA
62	24.83	20.657025	3298	NA	NA	4.00E-02	NA	NA	NA	NA	NA
31	27.85	20.657025	3290	NA	NA	4.72E-02	NA	NA	NA	NA	NA
16	24.22	20.657025	3286	NA	NA	5.07E-02	NA	NA	NA	NA	NA
16	24.42	20.657025	3283	NA	NA	5.34E-02	NA	NA	NA	NA	NA
16	25.26	20.657025	3274	NA	NA	6.14E-02	NA	NA	NA	NA	NA
15	30.83	20.657025	3271	NA	NA	6.41E-02	NA	NA	NA	NA	NA
16	27.93	20.657025	3265	NA	NA	6.94E-02	NA	NA	NA	NA	NA
16	25.47	20.657025	3253	NA	NA	8.01E-02	NA	NA	NA	NA	NA
16	23.08	20.657025	3241	NA	NA	9.07E-02	NA	NA	NA	NA	NA
12	24.13	20.657025	3239	NA	NA	9.25E-02	NA	NA	NA	NA	NA
15	23.33	20.657025	3227	NA	NA	1.03E-01	NA	NA	NA	NA	NA
12	23.25	20.657025	3221	NA	NA	1.09E-01	NA	NA	NA	NA	NA
11	27.85	20.657025	3212	NA	NA	1.17E-01	NA	NA	NA	NA	NA
26	33.68	20.657025	3209	NA	NA	1.19E-01	NA	NA	NA	NA	NA
13	28.46	20.657025	3206	NA	NA	1.22E-01	NA	NA	NA	NA	NA
26	26.01	20.657025	3200	NA	NA	1.27E-01	NA	NA	NA	NA	NA
12	31.87	20.657025	3197	NA	NA	1.30E-01	NA	NA	NA	NA	NA
39	27.54	20.657025	3194	NA	NA	1.33E-01	NA	NA	NA	NA	NA
13	28.77	20.657025	3189	NA	NA	1.37E-01	NA	NA	NA	NA	NA
18	26.61	20.657025	3183	NA	NA	1.42E-01	NA	NA	NA	NA	NA
30	28.04	20.657025	3180	NA	NA	1.45E-01	NA	NA	NA	NA	NA
17	28.56	20.657025	3178	NA	NA	1.47E-01	NA	NA	NA	NA	NA
21	27.52	20.657025	3174	NA	NA	1.50E-01	NA	NA	NA	NA	NA
42	26.98	20.657025	3166	NA	NA	1.57E-01	NA	NA	NA	NA	NA
31	27.14	20.657025	3163	NA	NA	1.60E-01	NA	NA	NA	NA	NA
28	24.41	20.657025	3160	NA	NA	1.63E-01	NA	NA	NA	NA	NA
34	28.69	20.657025	3157	NA	NA	1.65E-01	NA	NA	NA	NA	NA
13	25.83	20.657025	3154	NA	NA	1.68E-01	NA	NA	NA	NA	NA
17	28.21	20.657025	3149	NA	NA	1.73E-01	NA	NA	NA	NA	NA
14	25.96	20.657025	3141	NA	NA	1.80E-01	NA	NA	NA	NA	NA
14	25.38	20.657025	3138	NA	NA	1.82E-01	NA	NA	NA	NA	NA
22	28.53	20.657025	3132	NA	NA	1.88E-01	NA	NA	NA	NA	NA
12	26.02	20.657025	3126	NA	NA	1.93E-01	NA	NA	NA	NA	NA
14	22.93	20.657025	3125	NA	NA	1.94E-01	NA	NA	NA	NA	NA
16	22.26	20.657025	3112	NA	NA	2.06E-01	NA	NA	NA	NA	NA
13	23.96	20.657025	3100	NA	NA	2.16E-01	NA	NA	NA	NA	NA
14	24.47	20.657025	3097	NA	NA	2.19E-01	NA	NA	NA	NA	NA
15	34.65	20.657025	3084	NA	NA	2.30E-01	NA	NA	NA	NA	NA
29	33.41	20.657025	3075	NA	NA	2.38E-01	NA	NA	NA	NA	NA
31	30.68	20.657025	3068	NA	NA	2.45E-01	NA	NA	NA	NA	NA
15	26.63	20.657025	3065	NA	NA	2.47E-01	NA	NA	NA	NA	NA
60	32.43	20.657025	3062	NA	NA	2.50E-01	NA	NA	NA	NA	NA
