#Campbell and Reyment 1978 and Reyment 1982 V6											
N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
24	8.4	6.380676	3343	0.25	0.00088968	0	linear	1	no	foram	Afrobolivina_afra
12	9.11	6.380676	3317	NA	NA	2.31E-02	NA	NA	NA	NA	NA
30	5.75	6.380676	3313	NA	NA	2.67E-02	NA	NA	NA	NA	NA
28	8.46	6.380676	3301	NA	NA	3.74E-02	NA	NA	NA	NA	NA
62	7.9	6.380676	3298	NA	NA	4.00E-02	NA	NA	NA	NA	NA
31	11.55	6.380676	3290	NA	NA	4.72E-02	NA	NA	NA	NA	NA
16	9.64	6.380676	3286	NA	NA	5.07E-02	NA	NA	NA	NA	NA
16	9.47	6.380676	3283	NA	NA	5.34E-02	NA	NA	NA	NA	NA
16	11.11	6.380676	3274	NA	NA	6.14E-02	NA	NA	NA	NA	NA
15	9.85	6.380676	3271	NA	NA	6.41E-02	NA	NA	NA	NA	NA
16	10.13	6.380676	3265	NA	NA	6.94E-02	NA	NA	NA	NA	NA
16	9	6.380676	3253	NA	NA	8.01E-02	NA	NA	NA	NA	NA
16	8.44	6.380676	3241	NA	NA	9.07E-02	NA	NA	NA	NA	NA
12	8.32	6.380676	3239	NA	NA	9.25E-02	NA	NA	NA	NA	NA
15	8.89	6.380676	3227	NA	NA	1.03E-01	NA	NA	NA	NA	NA
12	7.74	6.380676	3221	NA	NA	1.09E-01	NA	NA	NA	NA	NA
11	9.68	6.380676	3212	NA	NA	1.17E-01	NA	NA	NA	NA	NA
26	11.34	6.380676	3209	NA	NA	1.19E-01	NA	NA	NA	NA	NA
13	10.75	6.380676	3206	NA	NA	1.22E-01	NA	NA	NA	NA	NA
26	11	6.380676	3200	NA	NA	1.27E-01	NA	NA	NA	NA	NA
12	12.86	6.380676	3197	NA	NA	1.30E-01	NA	NA	NA	NA	NA
39	10.34	6.380676	3194	NA	NA	1.33E-01	NA	NA	NA	NA	NA
13	9.42	6.380676	3189	NA	NA	1.37E-01	NA	NA	NA	NA	NA
18	9.16	6.380676	3183	NA	NA	1.42E-01	NA	NA	NA	NA	NA
30	10.87	6.380676	3180	NA	NA	1.45E-01	NA	NA	NA	NA	NA
17	8.15	6.380676	3178	NA	NA	1.47E-01	NA	NA	NA	NA	NA
21	9.13	6.380676	3174	NA	NA	1.50E-01	NA	NA	NA	NA	NA
42	8.8	6.380676	3166	NA	NA	1.57E-01	NA	NA	NA	NA	NA
31	8.87	6.380676	3163	NA	NA	1.60E-01	NA	NA	NA	NA	NA
28	9.11	6.380676	3160	NA	NA	1.63E-01	NA	NA	NA	NA	NA
34	11.29	6.380676	3157	NA	NA	1.65E-01	NA	NA	NA	NA	NA
13	9.04	6.380676	3154	NA	NA	1.68E-01	NA	NA	NA	NA	NA
17	10.35	6.380676	3149	NA	NA	1.73E-01	NA	NA	NA	NA	NA
14	8.29	6.380676	3141	NA	NA	1.80E-01	NA	NA	NA	NA	NA
14	8.01	6.380676	3138	NA	NA	1.82E-01	NA	NA	NA	NA	NA
22	7.19	6.380676	3132	NA	NA	1.88E-01	NA	NA	NA	NA	NA
12	8.62	6.380676	3126	NA	NA	1.93E-01	NA	NA	NA	NA	NA
14	8.67	6.380676	3125	NA	NA	1.94E-01	NA	NA	NA	NA	NA
16	7.2	6.380676	3112	NA	NA	2.06E-01	NA	NA	NA	NA	NA
13	7.46	6.380676	3100	NA	NA	2.16E-01	NA	NA	NA	NA	NA
14	7.99	6.380676	3097	NA	NA	2.19E-01	NA	NA	NA	NA	NA
15	11.75	6.380676	3084	NA	NA	2.30E-01	NA	NA	NA	NA	NA
29	9.22	6.380676	3075	NA	NA	2.38E-01	NA	NA	NA	NA	NA
31	8.07	6.380676	3068	NA	NA	2.45E-01	NA	NA	NA	NA	NA
15	10.1	6.380676	3065	NA	NA	2.47E-01	NA	NA	NA	NA	NA
60	10.04	6.380676	3062	NA	NA	2.50E-01	NA	NA	NA	NA	NA
