#Campbell and Reyment 1978 and Reyment 1982 V8											
N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
24	4.54	0.404496	3343	0.25	0.00088968	0	linear	1	no	foram	Afrobolivina_afra
12	4.03	0.404496	3317	NA	NA	2.31E-02	NA	NA	NA	NA	NA
30	3.45	0.404496	3313	NA	NA	2.67E-02	NA	NA	NA	NA	NA
28	3.91	0.404496	3301	NA	NA	3.74E-02	NA	NA	NA	NA	NA
62	3.75	0.404496	3298	NA	NA	4.00E-02	NA	NA	NA	NA	NA
31	4.26	0.404496	3290	NA	NA	4.72E-02	NA	NA	NA	NA	NA
16	4.1	0.404496	3286	NA	NA	5.07E-02	NA	NA	NA	NA	NA
16	3.84	0.404496	3283	NA	NA	5.34E-02	NA	NA	NA	NA	NA
16	4.26	0.404496	3274	NA	NA	6.14E-02	NA	NA	NA	NA	NA
15	6.1	0.404496	3271	NA	NA	6.41E-02	NA	NA	NA	NA	NA
16	4.94	0.404496	3265	NA	NA	6.94E-02	NA	NA	NA	NA	NA
16	4.31	0.404496	3253	NA	NA	8.01E-02	NA	NA	NA	NA	NA
16	3.5	0.404496	3241	NA	NA	9.07E-02	NA	NA	NA	NA	NA
12	3.96	0.404496	3239	NA	NA	9.25E-02	NA	NA	NA	NA	NA
15	3.83	0.404496	3227	NA	NA	1.03E-01	NA	NA	NA	NA	NA
12	3.88	0.404496	3221	NA	NA	1.09E-01	NA	NA	NA	NA	NA
11	4.59	0.404496	3212	NA	NA	1.17E-01	NA	NA	NA	NA	NA
26	4.3	0.404496	3209	NA	NA	1.19E-01	NA	NA	NA	NA	NA
13	3.96	0.404496	3206	NA	NA	1.22E-01	NA	NA	NA	NA	NA
26	3.75	0.404496	3200	NA	NA	1.27E-01	NA	NA	NA	NA	NA
12	3.79	0.404496	3197	NA	NA	1.30E-01	NA	NA	NA	NA	NA
39	3.89	0.404496	3194	NA	NA	1.33E-01	NA	NA	NA	NA	NA
13	4.31	0.404496	3189	NA	NA	1.37E-01	NA	NA	NA	NA	NA
18	3.94	0.404496	3183	NA	NA	1.42E-01	NA	NA	NA	NA	NA
30	3.85	0.404496	3180	NA	NA	1.45E-01	NA	NA	NA	NA	NA
17	3.49	0.404496	3178	NA	NA	1.47E-01	NA	NA	NA	NA	NA
21	3.43	0.404496	3174	NA	NA	1.50E-01	NA	NA	NA	NA	NA
42	3.52	0.404496	3166	NA	NA	1.57E-01	NA	NA	NA	NA	NA
31	3.62	0.404496	3163	NA	NA	1.60E-01	NA	NA	NA	NA	NA
28	3.55	0.404496	3160	NA	NA	1.63E-01	NA	NA	NA	NA	NA
34	3.72	0.404496	3157	NA	NA	1.65E-01	NA	NA	NA	NA	NA
13	3.73	0.404496	3154	NA	NA	1.68E-01	NA	NA	NA	NA	NA
17	4.24	0.404496	3149	NA	NA	1.73E-01	NA	NA	NA	NA	NA
14	4	0.404496	3141	NA	NA	1.80E-01	NA	NA	NA	NA	NA
14	4.14	0.404496	3138	NA	NA	1.82E-01	NA	NA	NA	NA	NA
22	3.84	0.404496	3132	NA	NA	1.88E-01	NA	NA	NA	NA	NA
12	3.32	0.404496	3126	NA	NA	1.93E-01	NA	NA	NA	NA	NA
14	3.7	0.404496	3125	NA	NA	1.94E-01	NA	NA	NA	NA	NA
16	3.3	0.404496	3112	NA	NA	2.06E-01	NA	NA	NA	NA	NA
13	3.85	0.404496	3100	NA	NA	2.16E-01	NA	NA	NA	NA	NA
14	3.69	0.404496	3097	NA	NA	2.19E-01	NA	NA	NA	NA	NA
15	3.75	0.404496	3084	NA	NA	2.30E-01	NA	NA	NA	NA	NA
29	4.02	0.404496	3075	NA	NA	2.38E-01	NA	NA	NA	NA	NA
31	4.03	0.404496	3068	NA	NA	2.45E-01	NA	NA	NA	NA	NA
15	3.97	0.404496	3065	NA	NA	2.47E-01	NA	NA	NA	NA	NA
60	3.96	0.404496	3062	NA	NA	2.50E-01	NA	NA	NA	NA	NA
