#Campbell and Reyment 1978 and Reyment 1982 V4											
N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
24	14.25	13.432225	3343	0.25	0.00088968	0	linear	1	no	foram	Afrobolivina_afra
12	14.41	13.432225	3317	NA	NA	2.31E-02	NA	NA	NA	NA	NA
30	13.29	13.432225	3313	NA	NA	2.67E-02	NA	NA	NA	NA	NA
28	15.82	13.432225	3301	NA	NA	3.74E-02	NA	NA	NA	NA	NA
62	16.05	13.432225	3298	NA	NA	4.00E-02	NA	NA	NA	NA	NA
31	18.69	13.432225	3290	NA	NA	4.72E-02	NA	NA	NA	NA	NA
16	15.17	13.432225	3286	NA	NA	5.07E-02	NA	NA	NA	NA	NA
16	15.73	13.432225	3283	NA	NA	5.34E-02	NA	NA	NA	NA	NA
16	16	13.432225	3274	NA	NA	6.14E-02	NA	NA	NA	NA	NA
15	20.85	13.432225	3271	NA	NA	6.41E-02	NA	NA	NA	NA	NA
16	20.01	13.432225	3265	NA	NA	6.94E-02	NA	NA	NA	NA	NA
16	17.32	13.432225	3253	NA	NA	8.01E-02	NA	NA	NA	NA	NA
16	18.14	13.432225	3241	NA	NA	9.07E-02	NA	NA	NA	NA	NA
12	16.42	13.432225	3239	NA	NA	9.25E-02	NA	NA	NA	NA	NA
15	16.93	13.432225	3227	NA	NA	1.03E-01	NA	NA	NA	NA	NA
12	15.87	13.432225	3221	NA	NA	1.09E-01	NA	NA	NA	NA	NA
11	20.04	13.432225	3212	NA	NA	1.17E-01	NA	NA	NA	NA	NA
26	22.7	13.432225	3209	NA	NA	1.19E-01	NA	NA	NA	NA	NA
13	21.04	13.432225	3206	NA	NA	1.22E-01	NA	NA	NA	NA	NA
26	20.28	13.432225	3200	NA	NA	1.27E-01	NA	NA	NA	NA	NA
12	22.13	13.432225	3197	NA	NA	1.30E-01	NA	NA	NA	NA	NA
39	19.97	13.432225	3194	NA	NA	1.33E-01	NA	NA	NA	NA	NA
13	20.8	13.432225	3189	NA	NA	1.37E-01	NA	NA	NA	NA	NA
18	20.47	13.432225	3183	NA	NA	1.42E-01	NA	NA	NA	NA	NA
30	22.01	13.432225	3180	NA	NA	1.45E-01	NA	NA	NA	NA	NA
17	20.8	13.432225	3178	NA	NA	1.47E-01	NA	NA	NA	NA	NA
21	20.49	13.432225	3174	NA	NA	1.50E-01	NA	NA	NA	NA	NA
42	21.06	13.432225	3166	NA	NA	1.57E-01	NA	NA	NA	NA	NA
31	21.06	13.432225	3163	NA	NA	1.60E-01	NA	NA	NA	NA	NA
28	18.8	13.432225	3160	NA	NA	1.63E-01	NA	NA	NA	NA	NA
34	20.76	13.432225	3157	NA	NA	1.65E-01	NA	NA	NA	NA	NA
13	18.72	13.432225	3154	NA	NA	1.68E-01	NA	NA	NA	NA	NA
17	20.84	13.432225	3149	NA	NA	1.73E-01	NA	NA	NA	NA	NA
14	19.28	13.432225	3141	NA	NA	1.80E-01	NA	NA	NA	NA	NA
14	18.86	13.432225	3138	NA	NA	1.82E-01	NA	NA	NA	NA	NA
22	21.09	13.432225	3132	NA	NA	1.88E-01	NA	NA	NA	NA	NA
12	20.47	13.432225	3126	NA	NA	1.93E-01	NA	NA	NA	NA	NA
14	17.88	13.432225	3125	NA	NA	1.94E-01	NA	NA	NA	NA	NA
16	18.45	13.432225	3112	NA	NA	2.06E-01	NA	NA	NA	NA	NA
13	19.12	13.432225	3100	NA	NA	2.16E-01	NA	NA	NA	NA	NA
14	20.18	13.432225	3097	NA	NA	2.19E-01	NA	NA	NA	NA	NA
15	26.05	13.432225	3084	NA	NA	2.30E-01	NA	NA	NA	NA	NA
29	26.13	13.432225	3075	NA	NA	2.38E-01	NA	NA	NA	NA	NA
31	22.94	13.432225	3068	NA	NA	2.45E-01	NA	NA	NA	NA	NA
15	20.72	13.432225	3065	NA	NA	2.47E-01	NA	NA	NA	NA	NA
60	25.23	13.432225	3062	NA	NA	2.50E-01	NA	NA	NA	NA	NA
